固相見かけ流速,気相見かけ流速,液相見かけ流速,固相体積率,気相体積率,液相体積率,ガラス球直径,NAME,FullPath,mean,var
0.183911184,44.22328555,4.505476011,0.009425015,0.812710459,0.177864526,0.0025,P20240829-1347,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1347_processed.npz,,
0.185162281,45.73755388,3.052283252,0.006244669,0.858169085,0.135586245,0.0025,P20240830-1006,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1006_processed.npz,,
0.266483553,45.60976635,2.895348721,0.006906673,0.854532395,0.138560932,0.0025,P20240830-1033,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1033_processed.npz,,
0.236457237,44.74937213,3.114901249,0.009977822,0.84907736,0.140944818,0.0025,P20240830-1043,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1043_processed.npz,,
0.220192983,45.58225119,3.121164836,0.00758915,0.860896603,0.131514247,0.0025,P20240830-1055,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1055_processed.npz,,
0.322782895,44.96181808,2.91092541,0.012796454,0.842713152,0.144490394,0.0025,P20240830-1108,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1108_processed.npz,,
0.390342106,44.53158575,2.882730868,0.017908211,0.84180398,0.14028781,0.0025,P20240830-1119,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1119_processed.npz,,
0.372826755,44.48815601,3.09915388,0.009677531,0.836348945,0.153973524,0.0025,P20240830-1537,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1537_processed.npz,,
0.411610746,43.95509866,3.020688724,0.0152056,0.859078258,0.125716143,0.0025,P20240830-1547,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1547_processed.npz,,
0.33904715,43.00755553,3.234033005,0.013185466,0.836348945,0.150465589,0.0025,P20240830-1558,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240830-1558_processed.npz,,
2.841240135,31.58628438,5.928895733,0.023368031,0.754523417,0.222108552,0.0025,P20240902-1557,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240902-1557_processed.npz,,
0.529213816,31.81745117,5.92557698,0.01670705,0.745431692,0.237861258,0.0025,P20240902-1620,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240902-1620_processed.npz,,
0.466658992,31.50954071,5.781613879,0.00698857,0.775434385,0.217577045,0.0025,P20240902-1543,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240902-1543_processed.npz,,
0.297760965,30.34297989,4.320841948,0.003023375,0.813619631,0.183356993,0.0025,P20240903-1606,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1606_processed.npz,,
0.195171053,31.00377827,6.256056,0.008769836,0.716338171,0.274891993,0.0025,P20240903-1120,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1120_processed.npz,,
0.21769079,31.05267688,6.243228392,0.010824094,0.753614244,0.235561662,0.0025,P20240903-1325,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1325_processed.npz,,
0.23895943,31.57630924,6.048762348,0.007937214,0.764524315,0.227538471,0.0025,P20240903-1334,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1334_processed.npz,,
0.246466009,31.4473944,6.036257149,0.00851732,0.76997935,0.22150333,0.0025,P20240903-1343,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1343_processed.npz,,
0.185162281,31.3369494,4.527709897,0.00408804,0.723611551,0.272300409,0.0025,P20240903-1415,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1415_processed.npz,,
0.19266886,31.34743801,4.50259891,0.010912816,0.798163698,0.190923486,0.0025,P20240903-1426,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1426_processed.npz,,
0.186413377,30.78567588,4.534004313,0.006456238,0.799072871,0.194470892,0.0025,P20240903-1435,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1435_processed.npz,,
0.487927632,31.12130808,6.03682998,0.011424674,0.75906928,0.229506046,0.0025,P20240903-1021,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1021_processed.npz,,
0.437883772,30.1140259,4.527835081,0.009595634,0.85998743,0.130416935,0.0025,P20240903-1616,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1616_processed.npz,,
0.364069079,30.88953422,4.574893061,0.008940456,0.829075564,0.16198398,0.0025,P20240903-1626,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1626_processed.npz,,
0.72063158,31.10975254,6.093231979,0.032165166,0.710883136,0.256951698,0.0025,P20240903-1108,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1108_processed.npz,,
0.758164475,30.73304044,6.002360814,0.026213962,0.755432589,0.218353448,0.0025,P20240903-1056,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1056_processed.npz,,
0.495434211,31.47875496,5.88329895,0.013594953,0.775434385,0.210970662,0.0025,P20240903-1010,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240903-1010_processed.npz,,
0.352809211,31.29075583,4.593649294,0.011097085,0.849986533,0.138916383,0.0025,P20240904-1058,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240904-1058_processed.npz,,
0.33904715,31.67834902,4.53726587,0.013622252,0.825438874,0.160938874,0.0025,P20240904-1049,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240904-1049_processed.npz,,
0.550482457,31.82386931,4.458898789,0.017962809,0.826348047,0.155689144,0.0025,P20240904-1118,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240904-1118_processed.npz,,
0.497936404,31.98502166,4.672126696,0.022289716,0.793617836,0.184092448,0.0025,P20240904-1108,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240904-1108_processed.npz,,
0.547980264,31.83617688,4.449649188,0.022501284,0.864533293,0.112965423,0.0025,P20240905-1034,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240905-1034_processed.npz,,
